epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1280.15,2.76086,6.573,0.94662,0.85108,0.64286,0.68473,0.15012,2.93524,1.77489,0.97637,0.000665344,0.000665344,0.000665344
2,2866.8,2.58221,2.01379,0.93278,0.81589,0.67857,0.72877,0.28538,2.47375,1.55834,0.91934,0.00120014,0.00120014,0.00120014
3,4351.38,2.47431,1.78711,0.91085,0.81589,0.67857,0.72877,0.28538,nan,nan,nan,0.00160294,0.00160294,0.00160294
4,6214.22,2.34543,1.64233,0.89871,0.25545,0.28571,0.17383,0.04853,nan,nan,nan,0.001406,0.001406,0.001406
5,7806.98,2.12131,1.41507,0.86881,0.53567,0.78571,0.70466,0.28568,2.19372,1.01472,0.88792,0.001208,0.001208,0.001208
6,9664.33,1.92606,1.26312,0.85523,0.80251,0.64286,0.69943,0.36762,1.80089,1.36598,0.86671,0.00101,0.00101,0.00101
7,11366.1,1.82149,1.15984,0.83794,0.83536,0.71429,0.74864,0.29797,2.06853,1.3607,0.87051,0.000812,0.000812,0.000812
8,13056.6,1.68348,0.98672,0.83681,0.87096,0.72342,0.79077,0.28468,2.18074,1.18307,0.88388,0.000614,0.000614,0.000614
9,14940.9,1.63359,0.91806,0.83366,1,0.80879,0.90342,0.37127,2.02479,1.04883,0.87242,0.000416,0.000416,0.000416
10,16694.2,1.45712,0.85613,0.82333,0.94181,0.82143,0.94583,0.3267,2.24541,0.96761,0.87663,0.000218,0.000218,0.000218
